Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
1,101,0,41.755734302,-87.554259054,7,25,1,0
1,87,0,41.941224932,-87.74526787200001,7,25,0,1
1,101,0,41.776751521,-87.713113511,7,25,0,0
1,101,0,41.83679625,-87.73217756700001,7,25,0,0
1,101,0,41.929128245,-87.693900913,7,25,0,1
1,101,0,41.94634967,-87.653088201,7,25,0,1
1,101,0,41.89140089,-87.74424498399999,7,25,0,1
1,34,0,41.885813569,-87.679819615,7,25,1,0
0,101,0,41.866112236999996,-87.729377157,7,25,0,1
2,83,0,,,1,7,0,0
0,17,0,41.773686818,-87.622731804,7,25,0,1
1,77,0,41.774993832,-87.602722558,7,17,0,0
1,101,0,41.813151918,-87.63835906700001,7,22,0,1
2,57,0,41.874779888,-87.725462211,8,13,0,1
2,98,0,41.692007779,-87.619618645,7,26,0,0
1,82,0,41.96938944,-87.70048880700001,7,26,0,0
1,48,0,41.72503226,-87.61422364200001,7,26,1,0
1,12,0,41.788804537,-87.71414507799999,7,26,1,0
2,13,0,41.880200089,-87.692703453,7,26,1,0
2,98,0,41.766938864000004,-87.57387386799999,7,26,1,0
1,101,0,41.781764229000004,-87.698340636,7,26,1,0
2,80,0,41.993025413000005,-87.697046997,7,26,1,0
1,101,0,41.94103187,-87.717857097,7,26,0,0
2,98,0,41.899807095999996,-87.750816267,7,26,1,0
2,12,0,41.904709475,-87.774238074,7,26,1,0
1,101,0,41.830917641,-87.608064205,7,26,0,0
2,12,0,41.890848335,-87.745664055,7,26,1,0
2,98,0,41.881083889,-87.69519535799999,7,26,1,0
2,12,0,41.797800275,-87.730649776,7,26,1,0
2,12,0,41.880301306,-87.760698841,7,26,0,1
2,101,0,41.877268725,-87.678985024,7,26,1,0
2,12,0,41.878085803000005,-87.74157658,7,26,0,1
2,80,0,41.990460631,-87.696244895,7,26,0,1
2,107,0,41.880186421,-87.76853246299999,7,26,0,1
1,100,0,41.685196414,-87.633012579,7,26,0,0
1,101,0,41.855714115,-87.727268906,7,26,1,0
2,107,0,41.862516567,-87.72560407700001,7,26,0,1
1,101,0,41.809869322,-87.66134569399999,7,26,0,1
2,101,0,41.884472570999996,-87.63205981,7,26,0,1
1,101,0,41.902243006999996,-87.69686180299999,7,26,0,1
2,98,0,41.866689176,-87.722752323,7,26,0,1
2,80,0,41.961087942,-87.63556624,7,26,0,1
2,88,0,41.77029895,-87.62829358200001,7,26,0,1
1,82,0,42.004262619,-87.81849677,7,26,1,0
2,88,0,41.872636725,-87.71672926299999,7,26,0,1
1,101,0,41.745901853,-87.71804236,7,26,0,1
1,101,0,41.86842201,-87.686869683,7,26,0,0
2,12,0,41.880713791999995,-87.726658171,7,26,0,1
1,101,0,41.935689452,-87.716431004,7,26,0,1
2,101,0,41.895492469000004,-87.71296137,7,26,0,1
2,101,0,41.766735712,-87.66341620899999,7,26,0,1
2,12,0,41.871730950999996,-87.71669758,7,26,0,1
2,98,0,41.806160616,-87.664905601,7,26,0,1
2,98,0,41.881776037,-87.748387499,7,26,0,1
2,98,0,41.876190326999996,-87.724406034,7,26,0,1
2,101,0,41.808540186,-87.67158963799999,7,26,0,1
2,80,0,41.823042961999995,-87.68057571,7,26,0,1
2,101,0,41.90413492,-87.74922672299999,7,26,0,1
1,101,0,41.755151016999996,-87.710558134,7,26,0,1
1,101,0,41.940880439000004,-87.669495295,7,26,0,1
2,77,0,41.925092185,-87.687650179,7,26,0,1
2,98,0,41.984551029,-87.669847325,7,26,0,0
2,38,0,41.704700641,-87.620558604,7,26,0,0
2,101,0,41.880301232,-87.76068415399999,7,26,0,0
1,101,0,41.774716082,-87.69571926200001,7,26,0,1
1,80,0,41.758174759,-87.54993401600001,7,26,1,0
1,101,0,41.805001116999996,-87.740639415,7,26,0,0
2,101,0,41.729509264,-87.65315332899999,7,26,0,0
1,101,0,41.750523732,-87.622979997,7,26,0,1
2,101,0,41.791609911,-87.653593645,7,26,0,0
1,101,0,41.744740666,-87.607481201,7,26,0,1
2,101,0,41.779838458,-87.63916618299999,7,26,0,0
2,12,0,41.781891437,-87.70200219799999,7,27,0,0
2,88,0,41.791889876,-87.653601688,7,26,0,0
2,101,0,41.753498236999995,-87.640454243,7,26,0,0
