Primary Type,Block,Location Description,Domestic,month,Period_1,Period_2
2,19601,96,0,7,1,0
2,19571,73,0,7,0,0
2,12355,87,0,7,0,0
1,35,77,1,7,0,0
2,19297,77,0,7,0,0
2,14464,90,0,7,0,0
0,17394,90,0,7,1,0
2,7901,90,0,7,0,1
2,10100,90,0,7,0,1
2,18708,80,0,7,0,0
2,18178,29,0,7,0,0
2,2507,73,0,7,0,1
2,17990,90,0,7,0,0
2,9486,90,0,7,1,0
2,9198,73,0,7,0,0
2,12217,96,0,7,0,1
1,17210,90,0,7,1,0
2,10625,73,0,7,0,0
1,11322,77,0,7,0,1
2,3983,90,0,7,0,1
2,10701,90,0,7,0,0
1,20386,77,1,7,1,0
2,1409,44,0,7,0,1
2,1735,62,0,7,0,0
1,35,77,1,7,0,0
1,6139,87,1,7,1,0
2,1670,90,0,7,0,1
1,3277,17,1,7,0,1
2,19410,17,0,7,0,0
0,4218,80,0,7,0,0
0,2145,87,0,7,0,1
1,21464,77,1,7,0,1
2,5071,90,0,7,0,0
2,7349,77,0,7,1,0
2,8843,90,0,7,0,1
2,9108,90,0,7,0,1
2,13798,50,0,7,0,1
1,2348,81,0,7,0,0
2,16451,47,0,7,0,0
2,6842,72,0,7,0,1
2,19724,87,0,7,1,0
2,21480,77,0,7,0,1
2,22646,80,0,7,0,1
1,7548,17,1,7,0,1
2,1852,39,0,7,0,1
2,2644,41,0,7,0,1
2,1347,90,0,7,0,1
2,7294,17,0,7,0,0
2,16749,90,0,7,0,0
1,11699,69,1,7,0,0
1,13138,77,1,7,0,1
2,4771,96,0,7,0,0
1,2348,81,0,7,0,0
2,1142,61,0,7,0,0
2,3016,88,0,7,1,0
0,22659,17,0,7,0,0
0,6584,90,1,7,0,0
2,11979,90,0,7,1,0
2,2723,87,0,7,0,1
2,5229,80,0,7,0,0
0,18525,77,0,7,0,1
0,21035,78,0,7,1,0
2,12778,88,0,7,1,0
2,12313,77,0,7,0,1
2,17410,17,0,7,0,0
2,2173,69,0,7,1,0
1,18994,17,1,7,0,1
2,10628,81,0,7,0,0
2,19295,72,0,7,1,0
2,19947,90,0,7,1,0
0,18851,81,1,7,0,0
2,1683,69,0,7,0,1
2,1251,73,0,7,0,0
2,5091,90,0,7,1,0
1,19805,77,0,7,0,1
2,12040,77,0,7,0,0
2,15325,62,0,7,0,1
2,12880,17,0,7,0,0
2,12077,98,0,7,1,0
2,15444,90,0,7,0,0
1,22741,77,0,7,1,0
2,3243,17,0,7,0,0
2,22029,77,0,7,1,0
2,1286,22,0,7,0,1
1,18059,77,0,7,0,0
0,15830,80,1,7,0,1
2,20032,78,0,7,0,1
2,6875,90,0,6,1,0
2,19000,90,0,6,0,0
2,12088,77,0,7,1,0
0,9061,77,0,7,0,0
2,19750,17,0,7,0,1
2,17850,87,0,1,0,1
0,7771,90,0,7,0,0
0,11010,78,0,3,0,1
1,15345,80,1,8,0,1
1,21710,78,0,4,0,1
1,22663,90,0,5,0,1
1,9198,61,0,6,0,0
1,22084,77,1,6,0,1
1,22644,77,1,7,0,1
2,15346,17,0,7,0,0
1,2091,77,1,7,0,1
1,20951,17,1,7,0,0
1,22418,90,1,7,0,1
1,20183,77,1,7,0,0
2,19089,88,0,7,0,1
2,15658,17,1,7,0,0
0,6401,87,0,7,0,0
2,7306,44,0,7,0,1
2,12011,87,0,7,1,0
2,17129,62,0,8,0,1
1,95,90,0,7,0,0
0,10929,17,1,7,0,0
1,11475,17,1,7,0,0
1,18600,87,1,7,0,0
1,2362,87,1,7,0,0
1,15025,87,1,7,0,0
2,10364,90,1,7,0,0
2,19075,88,0,8,0,1
