Primary Type,Block,Domestic
2,19601,False
2,19571,False
2,12355,False
1,35,True
2,19297,False
2,14464,False
0,17394,False
2,7901,False
2,10100,False
2,18708,False
2,18178,False
2,2507,False
2,17990,False
2,9486,False
2,9198,False
2,12217,False
1,17210,False
2,10625,False
1,11322,False
2,3983,False
2,10701,False
1,20386,True
2,1409,False
2,1735,False
1,35,True
1,6139,True
2,1670,False
1,3277,True
2,19410,False
0,4218,False
0,2145,False
1,21464,True
2,5071,False
2,7349,False
2,8843,False
2,9108,False
2,13798,False
1,2348,False
2,16451,False
2,6842,False
2,19724,False
2,21480,False
2,22646,False
1,7548,True
2,1852,False
2,2644,False
2,1347,False
2,7294,False
2,16749,False
1,11699,True
1,13138,True
2,4771,False
1,2348,False
2,1142,False
2,3016,False
0,22659,False
0,6584,True
2,11979,False
2,2723,False
2,5229,False
0,18525,False
0,21035,False
2,12778,False
2,12313,False
2,17410,False
2,2173,False
1,18994,True
2,10628,False
2,19295,False
2,19947,False
0,18851,True
2,1683,False
2,1251,False
2,5091,False
1,19805,False
2,12040,False
2,15325,False
2,12880,False
2,12077,False
2,15444,False
1,22741,False
2,3243,False
2,22029,False
2,1286,False
1,18059,False
0,15830,True
2,20032,False
2,6875,False
2,19000,False
2,12088,False
0,9061,False
2,19750,False
2,17850,False
0,7771,False
0,11010,False
1,15345,True
1,21710,False
1,22663,False
1,9198,False
1,22084,True
1,22644,True
2,15346,False
1,2091,True
1,20951,True
1,22418,True
1,20183,True
2,19089,False
2,15658,True
0,6401,False
2,7306,False
2,12011,False
2,17129,False
1,95,False
0,10929,True
1,11475,True
1,18600,True
1,2362,True
1,15025,True
2,10364,True
2,19075,False
2,568,False
0,20885,True
2,524,False
2,14187,False
1,2600,True
1,19947,True
0,2153,False
2,15228,False
1,1578,True
1,22056,True
1,4379,True
2,659,False
1,7100,True
2,18089,False
0,20196,True
1,20900,True
2,3904,False
2,21978,False
1,9852,False
1,20105,True
2,271,False
2,15742,False
1,22402,False
1,600,True
2,10121,False
1,22523,True
1,19663,True
1,19898,True
1,19437,True
0,4998,False
1,5974,False
1,7875,False
1,18484,True
2,19676,False
2,10921,False
2,1005,False
1,21350,True
2,17983,False
1,15564,False
0,21084,False
1,22659,True
0,17457,False
2,19652,False
1,19539,False
2,947,False
0,351,False
2,12537,False
2,13550,False
1,125,False
2,3613,False
2,14152,False
0,3488,False
2,5900,False
0,6351,True
1,2885,True
2,1213,True
2,22753,False
0,13404,False
2,15902,False
2,3061,False
2,11450,False
2,12909,False
0,3969,False
2,15116,False
2,5271,False
1,12236,False
2,16175,False
2,21597,False
1,524,False
2,7322,False
1,5030,True
2,10694,False
2,3347,False
1,14596,True
1,21835,True
1,21558,False
1,23091,True
1,1477,True
1,5398,False
1,4655,True
1,10294,True
1,5776,False
2,10726,False
1,20960,True
2,15238,False
1,21014,False
1,3192,False
2,1724,False
0,3280,True
0,5645,False
1,20259,True
2,17206,False
1,16325,False
2,1114,False
2,7057,False
0,1359,True
1,18022,True
2,19631,False
2,8939,False
2,13108,False
2,12007,False
2,703,False
1,15353,True
0,15466,False
2,3509,False
2,4654,False
2,3994,False
2,22323,False
2,130,False
1,7015,True
2,11879,False
1,11580,False
1,14311,True
1,22705,True
1,3234,False
1,2758,True
2,13798,False
1,247,False
0,10379,False
2,12203,True
1,5488,True
1,4977,False
1,2711,True
2,20928,False
2,5994,False
2,9994,False
2,15459,False
2,1996,False
2,129,False
2,19631,False
2,6540,False
0,12457,False
2,8618,False
1,16545,True
1,7953,True
1,2733,True
2,1696,False
1,337,False
2,1258,False
2,18010,True
2,1251,False
2,19019,False
2,15012,False
2,15293,False
2,4533,False
2,11847,False
2,18142,False
2,14862,False
0,19646,True
2,7163,False
2,15651,False
1,4580,False
2,9472,False
2,1264,False
2,1204,False
1,787,False
2,212,False
2,9994,False
1,15329,False
2,431,False
1,7277,False
1,4953,True
1,17887,False
2,16008,False
1,13616,False
1,17590,True
1,18621,True
2,21816,False
0,7814,False
2,20534,False
1,16325,True
2,693,False
2,629,False
0,14256,False
2,21623,False
1,4243,True
2,15459,False
2,755,False
2,15058,False
1,15329,True
0,20534,True
2,10813,False
1,11653,True
0,4016,False
2,14940,True
2,629,False
0,10955,False
1,11027,False
1,12867,False
2,524,False
1,12459,True
1,1671,False
2,801,False
1,11000,True
2,134,False
2,21841,False
1,13712,False
1,12440,True
1,11171,True
1,13279,False
1,4576,False
2,14010,False
1,9726,False
1,16448,False
1,5030,True
0,8866,False
1,20044,False
2,629,False
1,7261,False
1,5030,True
2,6711,True
1,13278,True
1,9,False
0,19998,False
0,1771,True
2,18803,False
2,14194,False
1,18092,False
1,8532,False
2,7307,False
2,11849,False
2,12592,False
1,1735,False
1,6844,False
1,14940,True
1,14438,False
1,10081,False
1,19583,False
0,11194,True
0,10116,True
0,10663,False
2,13300,False
1,15346,True
0,1964,False
1,5833,True
1,18316,False
2,3016,False
0,434,True
2,7462,False
2,19932,False
1,14578,True
2,19073,False
2,2015,False
1,876,True
1,5841,True
0,19884,False
1,4091,True
0,607,True
1,18029,True
2,4561,False
1,1026,True
2,19239,False
2,2002,True
1,15864,True
1,5960,True
1,14894,False
2,12761,False
1,21341,True
1,11599,True
1,21468,False
0,6515,True
1,22190,True
1,22765,True
1,22444,False
1,22921,False
1,4239,False
2,10121,False
1,9104,False
2,6843,False
1,9711,True
1,16384,False
0,21533,False
2,13769,False
2,2015,False
0,5037,False
2,10170,False
1,3019,True
2,1994,False
0,15402,False
0,7072,False
2,12087,False
1,2988,True
2,1994,False
1,10443,True
1,2411,False
1,18393,True
1,17439,False
2,121,False
1,15431,False
1,876,True
1,2483,False
1,1462,True
1,20081,False
1,17084,True
1,14961,True
0,7968,True
1,4261,False
2,20298,False
2,19829,False
2,10818,False
2,17152,False
1,19637,False
1,19865,True
2,20708,False
1,721,False
1,1463,True
1,13603,False
1,5111,True
2,21743,False
1,11802,True
2,1720,False
2,19702,False
1,4532,False
2,17240,False
0,19653,False
0,15423,False
1,10675,True
2,18998,False
2,14633,False
2,511,False
0,1284,False
0,8604,True
2,14316,False
2,13493,False
1,3131,False
2,2702,False
2,15376,False
1,3192,False
2,20310,False
2,5242,False
2,9286,False
2,5927,False
2,2045,False
2,722,False
2,19042,False
1,10863,False
0,3192,False
2,1935,False
2,13702,False
2,11188,False
0,19021,False
2,19089,False
1,7602,True
2,18196,False
2,1393,False
0,22407,False
2,17032,False
1,11710,True
2,143,False
2,16325,False
2,17205,False
2,15335,False
2,21957,False
2,6761,False
2,12097,False
1,682,False
2,12874,False
1,12755,False
0,17992,True
2,14012,False
2,564,False
1,5852,False
1,111,False
0,7192,False
2,8325,False
2,4269,False
1,22079,True
2,16136,False
