Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
3,123,0,41.758249888,-87.56635652700001,7,25,1,0
3,93,0,41.757547489000004,-87.63660265799999,7,25,0,0
3,112,0,41.823665846,-87.603072021,7,25,0,0
1,115,0,41.755734302,-87.554259054,7,25,1,0
3,100,0,41.760682126,-87.643074607,7,25,0,0
3,115,0,41.943380279,-87.74763728799999,7,25,0,0
3,115,0,41.925217466999996,-87.63587640000001,7,25,0,1
1,100,0,41.941224932,-87.74526787200001,7,25,0,1
1,115,0,41.776751521,-87.713113511,7,25,0,0
3,115,0,41.965619581999995,-87.70410751600001,7,25,0,1
3,103,0,42.007973303,-87.68144809799999,7,25,0,0
1,115,0,41.83679625,-87.73217756700001,7,25,0,0
3,31,0,41.775815434,-87.615515359,7,25,0,0
3,93,0,41.881816644000004,-87.644383332,7,25,0,1
3,115,0,41.998262327,-87.6972266,7,25,0,0
3,115,0,41.846436811,-87.696523392,7,25,1,0
3,93,0,41.770020864,-87.6913338,7,25,0,0
3,123,0,41.876225438,-87.72171789,7,25,0,1
3,93,0,41.983068616,-87.709390221,7,25,0,0
1,115,0,41.929128245,-87.693900913,7,25,0,1
3,115,0,41.901351049,-87.694376484,7,25,0,1
3,115,0,41.941548450999996,-87.717469865,7,25,0,0
3,49,0,41.877864969,-87.62766695399999,7,25,0,1
3,76,0,41.876396396,-87.63073443799999,7,25,0,0
3,115,0,41.890450111999996,-87.64760699899999,7,25,0,1
3,17,0,41.75953427,-87.60907381,7,25,0,0
3,115,0,41.82689451,-87.662705011,7,25,0,0
3,100,0,41.852539739,-87.693012575,7,25,1,0
3,115,0,41.843753299,-87.71111261899999,7,25,0,1
3,115,0,41.84292557,-87.665840602,7,25,0,1
3,55,0,41.90971226,-87.73926766,7,25,0,1
3,52,0,41.887731576,-87.76543983799999,7,25,0,0
3,91,0,42.008897419,-87.67891821100001,7,25,0,1
3,112,0,42.021783688,-87.670715337,7,25,1,0
3,100,0,41.72092149,-87.638342772,7,25,0,1
3,103,0,41.683432133000004,-87.67389084,7,25,0,1
3,43,0,41.903775756,-87.639324074,7,25,0,1
3,46,0,,,7,25,0,1
3,115,0,41.887758016999996,-87.664356811,7,25,0,1
3,17,0,41.920417936999996,-87.687502561,7,25,0,0
3,115,0,41.985753226,-87.811859706,7,25,0,0
1,115,0,41.94634967,-87.653088201,7,25,0,1
3,123,0,41.952546063,-87.663348891,7,25,0,0
3,74,0,41.894781156,-87.634962524,7,25,0,0
3,113,0,41.89804054,-87.62409132299999,7,25,1,0
3,115,0,41.918155261,-87.72028153299999,7,25,1,0
3,112,0,41.87285385,-87.63257602799999,7,25,0,1
3,103,0,41.928825746,-87.66487969299999,7,25,0,0
3,113,0,41.957000753,-87.65461466,7,25,1,0
1,115,0,41.89140089,-87.74424498399999,7,25,0,1
3,100,0,41.953021828000004,-87.68600814,7,25,0,1
3,17,0,41.780748564,-87.764272909,7,25,0,0
3,88,0,41.932831201,-87.64335316200001,7,25,1,0
3,104,0,41.851744241,-87.70700867299999,7,25,0,0
3,91,0,41.761980459,-87.58356485200001,7,25,1,0
3,115,0,41.751260619,-87.67194739899999,7,25,1,0
3,88,0,41.88832617,-87.75535704299999,7,25,0,1
3,93,0,,,7,25,0,0
3,115,0,41.7640564,-87.65998021700001,7,25,1,0
3,100,0,41.950519369,-87.736712634,7,25,0,0
3,76,0,41.79985743,-87.589101502,7,25,0,1
3,17,0,41.851491339,-87.72843193,7,25,0,0
3,126,0,41.950990726,-87.68837775600001,7,25,1,0
3,115,0,41.875743496999995,-87.755844956,7,25,0,0
3,17,0,41.705677781999995,-87.600944364,7,25,0,0
3,100,0,41.705113794,-87.623461757,7,25,1,0
3,23,0,,,7,25,0,1
1,41,0,41.885813569,-87.679819615,7,25,1,0
3,101,0,41.750930509,-87.558942005,7,12,0,1
3,115,0,,,6,1,1,0
3,115,0,,,6,20,0,0
3,100,0,,,7,1,1,0
3,17,0,,,7,1,0,1
0,115,0,41.866112236999996,-87.729377157,7,25,0,1
3,112,0,,,1,3,0,1
2,95,0,,,1,7,0,0
0,21,0,41.773686818,-87.622731804,7,25,0,1
1,88,0,41.774993832,-87.602722558,7,17,0,0
3,17,0,41.798889417,-87.66227825799999,7,19,0,0
1,115,0,41.813151918,-87.63835906700001,7,22,0,1
3,113,0,41.791950089000004,-87.800760135,7,23,0,1
3,17,1,41.878431421,-87.75829201399999,7,25,0,0
3,49,0,41.852561556,-87.71502445200001,7,25,0,1
3,112,0,41.949994460999996,-87.747220162,7,26,1,0
2,67,0,41.874779888,-87.725462211,8,13,0,1
3,76,0,41.992259008000005,-87.71041506600001,8,13,0,1
3,115,1,41.872790905,-87.70467367,7,26,0,0
3,113,0,41.764151886,-87.683229302,8,13,0,1
3,112,0,41.883743485,-87.64125219700001,8,13,0,1
3,55,0,41.896714548,-87.625340136,8,13,0,1
3,93,0,41.93883609,-87.746072695,7,26,0,0
2,112,0,41.692007779,-87.619618645,7,26,0,0
3,112,0,41.881716983000004,-87.75297460200001,7,26,0,0
3,112,0,41.880108035,-87.647309981,7,26,0,0
3,41,0,41.776461994,-87.683570601,7,26,0,0
