Primary Type,Block,Location Description,Domestic,month,day,Period_1,Period_2
3,17884,123,0,7,25,1,0
3,17853,93,0,7,25,0,0
3,11351,112,0,7,25,0,0
1,18022,115,0,7,25,1,0
3,17609,100,0,7,25,0,0
3,13290,115,0,7,25,0,0
3,7286,115,0,7,25,0,1
1,9853,100,0,7,25,0,1
1,16436,115,0,7,25,0,0
3,9295,115,0,7,25,0,1
3,17072,103,0,7,25,0,0
1,12213,115,0,7,25,0,0
3,16596,31,0,7,25,0,0
3,2317,93,0,7,25,0,1
3,16424,115,0,7,25,0,0
3,8737,115,0,7,25,1,0
3,8467,93,0,7,25,0,0
3,11225,123,0,7,25,0,1
3,9763,93,0,7,25,0,0
1,8092,115,0,7,25,0,1
3,3674,115,0,7,25,0,1
3,9839,115,0,7,25,0,0
3,1310,49,0,7,25,0,1
3,1596,76,0,7,25,0,0
3,1537,115,0,7,25,0,1
3,17709,17,0,7,25,0,0
3,4682,115,0,7,25,0,0
3,6791,100,0,7,25,1,0
3,8143,115,0,7,25,0,1
3,8389,115,0,7,25,0,1
3,12667,55,0,7,25,0,1
3,15065,52,0,7,25,0,0
3,6322,91,0,7,25,0,1
3,17998,112,0,7,25,1,0
3,19583,100,0,7,25,0,1
3,20576,103,0,7,25,0,1
3,1698,43,0,7,25,0,1
3,2441,46,0,7,25,0,1
3,1250,115,0,7,25,0,1
3,6737,17,0,7,25,0,0
3,15331,115,0,7,25,0,0
1,10371,115,0,7,25,0,1
3,4399,123,0,7,25,0,0
3,1056,74,0,7,25,0,0
3,2779,113,0,7,25,1,0
3,11008,115,0,7,25,1,0
3,2518,112,0,7,25,0,1
3,4830,103,0,7,25,0,0
3,11733,113,0,7,25,1,0
1,13062,115,0,7,25,0,1
3,11313,100,0,7,25,0,1
3,15921,17,0,7,25,0,0
3,1996,88,0,7,25,1,0
3,9765,104,0,7,25,0,0
3,17607,91,0,7,25,1,0
3,18207,115,0,7,25,1,0
3,1548,88,0,7,25,0,1
3,1156,93,0,7,25,0,0
3,4698,115,0,7,25,1,0
3,11065,100,0,7,25,0,0
3,14076,76,0,7,25,0,1
3,11823,17,0,7,25,0,0
3,11102,126,0,7,25,1,0
3,14179,115,0,7,25,0,0
3,2988,17,0,7,25,0,0
3,20055,100,0,7,25,1,0
3,1190,23,0,7,25,0,1
1,6923,41,0,7,25,1,0
3,18285,101,0,7,12,0,1
3,6358,115,0,6,1,1,0
3,17331,115,0,6,20,0,0
3,11112,100,0,7,1,1,0
3,18024,17,0,7,1,0,1
0,11863,115,0,7,25,0,1
3,16299,112,0,1,3,0,1
2,10028,95,0,1,7,0,0
0,16761,21,0,7,25,0,1
1,3025,88,0,7,17,0,0
3,14095,17,0,7,19,0,0
1,12388,115,0,7,22,0,1
3,17418,113,0,7,23,0,1
3,14374,17,1,7,25,0,0
3,6748,49,0,7,25,0,1
3,11039,112,0,7,26,1,0
2,1619,67,0,8,13,0,1
3,15673,76,0,8,13,0,1
3,9537,115,1,7,26,0,0
3,17405,113,0,8,13,0,1
3,534,112,0,8,13,0,1
3,493,55,0,8,13,0,1
3,13036,93,0,7,26,0,0
2,20398,112,0,7,26,0,0
3,13984,112,0,7,26,0,0
3,623,112,0,7,26,0,0
3,16514,41,0,7,26,0,0
3,3599,115,0,7,26,0,0
3,20005,115,0,7,26,0,0
3,258,93,0,7,26,0,0
3,14442,115,0,7,26,0,0
3,9316,100,0,7,26,0,0
1,13093,93,0,7,26,0,0
3,17954,115,0,7,26,0,0
3,10053,115,0,7,26,0,0
3,936,39,0,7,26,1,0
3,16418,93,0,7,26,0,0
1,19434,57,0,7,26,1,0
3,17933,115,0,7,26,1,0
3,883,104,0,7,26,1,0
3,11516,115,0,7,26,0,0
3,12438,88,0,7,26,0,1
1,10685,15,0,7,26,1,0
2,8257,17,0,7,26,1,0
3,3334,43,0,7,26,0,0
3,13003,52,0,7,26,0,0
2,17208,112,0,7,26,1,0
1,15947,115,0,7,26,1,0
3,5451,112,0,7,26,1,0
2,15870,91,0,7,26,1,0
3,1124,17,1,7,26,1,0
3,20656,70,0,7,26,1,0
1,10774,115,0,7,26,0,0
3,14584,55,0,7,26,1,0
3,2823,115,0,7,26,0,0
2,3358,112,0,7,26,1,0
3,10523,100,0,7,26,1,0
3,11849,115,0,7,26,1,0
